time,dim_0,y,x,spatial_ref,coastal,blue,green,red,rededge1,rededge2,rededge3,nir,nir08,nir09,swir16,swir22,scl,aot,wvp,geometry,es_incendio
2022-11-29 14:52:04.587,73,6324555.0,301245.0,32719,2623,1667,1666,1789,1985,2301,2493,2330,2712,2741,2754,1996,8,222,790,POINT (301245 6324555),1
2022-11-29 14:52:04.587,74,6323775.0,299865.0,32719,7613,6635,6113,5907,6170,6101,6103,6222,6089,6566,5331,4235,9,218,765,POINT (299865 6323775),1
2022-11-29 14:52:04.587,75,6327345.0,299115.0,32719,1967,1680,1771,1793,2030,2500,2709,2854,2926,2318,2698,1839,8,223,765,POINT (299115 6327345),0
2022-11-29 14:52:04.587,76,6326565.0,303045.0,32719,746,884,1085,1426,1678,1991,2224,2333,2428,2462,2784,1917,5,230,1171,POINT (303045 6326565),1
2022-11-29 14:52:04.587,77,6322875.0,300735.0,32719,8493,8460,7728,7392,7598,7438,7401,7670,7317,7149,6298,5036,9,217,790,POINT (300735 6322875),0
2022-11-29 14:52:04.587,78,6325425.0,299595.0,32719,2768,2742,2715,2794,3066,3395,3534,3642,3494,3266,4051,2887,8,213,765,POINT (299595 6325425),1
2022-11-29 14:52:04.587,79,6326235.0,297975.0,32719,9053,8282,7666,7372,7704,7576,7541,7570,7481,7366,6473,5078,9,221,765,POINT (297975 6326235),0
2022-11-29 14:52:04.587,80,6323895.0,298305.0,32719,7295,6715,6344,6146,6375,6327,6315,6329,6275,6416,5335,4182,9,220,765,POINT (298305 6323895),1
2022-11-29 14:52:04.587,81,6324345.0,298815.0,32719,3186,2300,2220,2232,2493,2800,2944,2976,3149,3099,2962,2156,8,215,765,POINT (298815 6324345),1
2022-11-29 14:52:04.587,82,6326295.0,298965.0,32719,6726,5731,5353,5190,5405,5456,5471,5634,5498,5438,5504,4436,9,219,765,POINT (298965 6326295),0
2022-11-29 14:52:04.587,83,6326835.0,303525.0,32719,710,716,892,1224,1474,1796,1956,2180,2301,2275,2933,1932,5,227,983,POINT (303525 6326835),1
2022-11-29 14:52:04.587,84,6322635.0,304485.0,32719,645,558,728,880,1199,1653,1862,1910,2039,2345,2293,1625,5,200,548,POINT (304485 6322635),1
2022-11-29 14:52:04.587,85,6327525.0,303645.0,32719,720,699,845,1099,1262,1596,1751,1890,1988,2184,2747,1957,5,233,1019,POINT (303645 6327525),1
2022-11-29 14:52:04.587,86,6327045.0,300615.0,32719,1055,871,947,1041,1416,1894,2101,2266,2369,2470,2940,1982,5,227,982,POINT (300615 6327045),1
2022-11-29 14:52:04.587,87,6322995.0,300345.0,32719,7515,6721,6053,5811,5972,5896,5885,6193,5888,6559,5208,4028,9,219,790,POINT (300345 6322995),0
2022-11-29 14:52:04.587,88,6322545.0,300825.0,32719,4504,3812,3510,3478,3682,3787,3836,3975,4013,4116,3709,2842,9,215,790,POINT (300825 6322545),0
2022-11-29 14:52:04.587,89,6326925.0,304815.0,32719,528,405,537,469,824,1453,1627,1764,1771,1653,1893,1273,4,221,769,POINT (304815 6326925),0
2022-11-29 14:52:04.587,90,6325215.0,304035.0,32719,934,1065,1305,1791,2119,2524,2728,3097,3111,2813,3991,2627,5,226,951,POINT (304035 6325215),0
2022-11-29 14:52:04.587,91,6325785.0,298815.0,32719,10179,9064,8534,8272,8603,8468,8398,8366,8358,8042,7331,6040,9,215,765,POINT (298815 6325785),0
2022-11-29 14:52:04.587,92,6323235.0,302205.0,32719,6035,5054,4775,4710,4942,4997,5062,5070,5108,5730,5253,4580,9,205,790,POINT (302205 6323235),0
2022-11-29 14:52:04.587,93,6322995.0,300345.0,32719,7515,6721,6053,5811,5972,5896,5885,6193,5888,6559,5208,4028,9,219,790,POINT (300345 6322995),0
2022-11-29 14:52:04.587,94,6322335.0,304095.0,32719,2577,2383,2290,2301,2561,2783,2833,2951,2978,3599,2961,2436,8,198,790,POINT (304095 6322335),0
2022-11-29 14:52:04.587,95,6324435.0,299175.0,32719,2629,1789,1719,1701,1895,2232,2439,2574,2605,2782,2605,1743,8,214,765,POINT (299175 6324435),1
2022-11-29 14:52:04.587,96,6323535.0,299955.0,32719,7669,6653,6229,6007,6266,6171,6187,6280,6143,6637,5392,4240,9,217,765,POINT (299955 6323535),0
2022-11-29 14:52:04.587,97,6327285.0,303555.0,32719,595,584,760,1021,1316,1626,1743,1908,2030,2050,2512,1585,5,227,937,POINT (303555 6327285),1
2022-11-29 14:52:04.587,98,6326415.0,302145.0,32719,1029,698,789,851,1069,1574,1782,1871,2033,2312,2355,1598,5,226,808,POINT (302145 6326415),1
2022-11-29 14:52:04.587,99,6325695.0,304305.0,32719,627,577,789,1024,1399,1911,2241,2292,2475,2417,2313,1524,5,228,1035,POINT (304305 6325695),0
2022-12-04 14:52:02.051,0,6327645.0,299625.0,32719,447,482,721,792,1122,1962,2250,2414,2542,2577,2564,1650,4,84,1191,POINT (299625 6327645),0
